time,temperature
-10.0,35.35
-9.9,35.8
-9.8,35.8
-9.7,35.8
-9.6,35.8
-9.5,34.9
-9.4,35.35
-9.3,35.35
-9.2,35.35
-9.1,35.35
-9.0,35.8
-8.9,35.8
-8.8,35.35
-8.7,35.35
-8.6,35.8
-8.5,34.9
-8.4,35.35
-8.3,35.8
-8.2,35.35
-8.1,34.9
-8.0,34.9
-7.9,35.35
-7.8,35.35
-7.7,35.35
-7.6,35.35
-7.5,35.8
-7.4,35.35
-7.3,35.35
-7.2,35.8
-7.1,35.35
-7.0,35.35
-6.9,34.9
-6.8,34.9
-6.7,34.9
-6.6,35.35
-6.5,35.35
-6.4,34.9
-6.3,35.35
-6.2,34.9
-6.1,35.35
-6.0,35.35
-5.9,34.9
-5.8,35.35
-5.7,35.8
-5.6,35.35
-5.5,35.35
-5.4,35.35
-5.3,35.35
-5.2,35.35
-5.1,35.35
-5.0,35.35
-4.9,34.9
-4.8,35.35
-4.7,34.9
-4.6,35.8
-4.5,35.35
-4.4,35.8
-4.3,35.35
-4.2,35.8
-4.1,35.35
-4.0,34.9
-3.9000000000000004,35.8
-3.8,35.35
-3.7,35.35
-3.5999999999999996,35.35
-3.5,35.35
-3.4000000000000004,34.9
-3.3,35.35
-3.2,35.35
-3.0999999999999996,34.9
-3.0,35.35
-2.9000000000000004,34.9
-2.8,35.35
-2.7,35.35
-2.5999999999999996,35.35
-2.5,35.35
-2.4000000000000004,35.8
-2.3,35.35
-2.2,35.35
-2.0999999999999996,34.9
-2.0,35.35
-1.9000000000000004,34.9
-1.8000000000000007,35.8
-1.6999999999999993,35.35
-1.5999999999999996,35.8
-1.5,35.8
-1.4000000000000004,35.8
-1.3000000000000007,34.9
-1.1999999999999993,36.27
-1.0999999999999996,35.8
-1.0,34.9
-0.9000000000000004,35.35
-0.8000000000000007,35.8
-0.6999999999999993,35.8
-0.5999999999999996,35.35
-0.5,35.35
-0.40000000000000036,35.8
-0.3000000000000007,35.35
-0.1999999999999993,35.35
-0.09999999999999964,34.9
0.0,35.35
0.09999999999999964,36.27
0.1999999999999993,35.35
0.3000000000000007,35.35
0.40000000000000036,34.9
0.5,34.46
0.5999999999999996,34.9
0.6999999999999993,33.6
0.8000000000000007,34.46
0.9000000000000004,34.02
1.0,34.02
1.0999999999999996,33.6
1.1999999999999993,33.6
1.3000000000000007,33.18
1.4000000000000004,33.6
1.5,32.76
1.5999999999999996,33.18
1.6999999999999993,32.36
1.8000000000000007,33.18
1.9000000000000004,31.96
2.0,31.56
2.0999999999999996,31.96
2.1999999999999993,32.36
2.3000000000000007,31.96
2.4000000000000004,31.17
2.5,31.56
2.5999999999999996,31.17
2.6999999999999993,31.17
2.8000000000000007,30.79
2.9000000000000004,30.79
3.0,31.17
3.0999999999999996,30.79
3.1999999999999993,30.41
3.3000000000000007,30.41
3.4000000000000004,30.41
3.5,29.67
3.5999999999999996,29.31
3.6999999999999993,29.31
3.8000000000000007,29.67
3.9000000000000004,29.67
4.0,29.67
4.1,30.04
4.199999999999999,29.31
4.300000000000001,29.31
4.4,29.31
4.5,28.95
4.6,28.95
4.699999999999999,28.95
4.800000000000001,28.59
4.9,28.59
5.0,28.59
5.1,28.59
5.199999999999999,28.95
5.300000000000001,28.25
5.4,27.9
5.5,27.9
5.6,27.9
5.699999999999999,27.9
5.800000000000001,27.56
5.9,27.56
6.0,27.56
6.100000000000001,27.56
6.199999999999999,27.56
6.300000000000001,27.23
6.399999999999999,27.23
6.5,26.57
6.600000000000001,27.23
6.699999999999999,26.89
6.800000000000001,27.23
6.899999999999999,27.23
7.0,26.57
7.100000000000001,26.57
7.199999999999999,26.57
7.300000000000001,26.24
7.399999999999999,26.57
7.5,25.92
7.600000000000001,26.57
7.699999999999999,26.24
7.800000000000001,26.57
7.899999999999999,25.92
8.0,25.61
8.100000000000001,25.61
8.2,25.61
8.3,25.61
8.399999999999999,25.3
8.5,25.3
8.600000000000001,25.61
8.7,25.61
8.8,25.61
8.899999999999999,24.99
9.0,24.99
9.100000000000001,25.3
9.2,25.3
9.3,24.68
9.399999999999999,24.99
9.5,24.99
9.600000000000001,24.68
9.7,24.99
9.8,24.68
9.899999999999999,24.68
10.0,24.38
10.100000000000001,24.99
10.2,24.68
10.3,24.68
10.399999999999999,24.38
10.5,24.08
10.600000000000001,24.38
10.7,24.38
10.8,24.68
10.899999999999999,23.79
11.0,24.08
11.100000000000001,24.08
11.2,24.08
11.3,23.79
11.399999999999999,24.08
11.5,23.79
11.600000000000001,23.79
11.7,23.79
11.8,23.49
11.899999999999999,23.79
12.0,23.49
12.100000000000001,23.49
12.2,23.49
12.3,23.49
12.399999999999999,23.49
12.5,23.79
12.600000000000001,23.21
12.7,23.21
12.8,22.92
12.899999999999999,23.21
13.0,23.21
13.100000000000001,23.21
13.2,23.21
13.3,23.21
13.399999999999999,23.49
13.5,23.49
13.600000000000001,22.64
13.7,22.92
13.8,22.92
13.899999999999999,22.64
14.0,22.92
14.100000000000001,22.64
14.2,22.92
14.3,22.36
14.399999999999999,22.92
14.5,22.92
14.600000000000001,22.36
14.7,22.92
14.8,22.64
14.899999999999999,22.36
15.0,22.64
15.100000000000001,22.92
15.2,22.64
15.3,22.64
15.399999999999999,22.36
15.5,22.36
15.600000000000001,22.08
15.7,21.81
15.8,22.08
15.899999999999999,22.08
16.0,22.08
16.1,22.08
16.2,22.08
16.3,21.81
16.4,21.81
16.5,21.81
16.6,21.81
16.7,21.81
16.8,21.81
16.9,22.08
17.0,22.36
17.1,22.08
17.2,21.81
17.3,21.81
17.4,21.81
17.5,21.53
17.6,21.53
17.7,21.53
17.8,21.53
17.9,21.81
18.0,21.53
18.1,21.81
18.2,21.53
18.3,21.27
18.4,21.53
18.5,21.53
18.6,21.53
18.7,21.27
18.8,21.53
18.9,21.27
19.0,21.53
19.1,21.53
19.2,21.27
19.3,21.27
19.4,21.27
19.5,21.27
19.6,21.27
19.7,21.27
19.8,21.27
19.9,21.27
20.0,21.27
20.1,21.53
20.2,21.0
20.3,21.0
20.4,21.0
20.5,21.0
20.6,20.74
20.7,21.0
20.8,21.27
20.9,21.0
21.0,21.0
21.1,21.0
21.2,21.0
21.3,21.27
21.4,21.0
21.5,21.0
21.6,21.0
21.7,21.0
21.8,21.0
21.9,21.0
22.0,21.0
22.1,20.74
22.200000000000003,20.74
22.299999999999997,21.0
22.4,21.0
22.5,20.74
22.6,21.0
22.700000000000003,21.0
22.799999999999997,21.0
22.9,21.0
23.0,20.47
23.1,21.0
23.200000000000003,20.74
23.299999999999997,20.74
23.4,20.74
23.5,20.74
23.6,20.74
23.700000000000003,20.47
23.799999999999997,21.0
23.9,20.47
24.0,20.47
24.1,20.47
24.200000000000003,20.47
24.299999999999997,20.47
24.4,20.47
24.5,20.74
24.6,20.47
24.700000000000003,20.47
24.799999999999997,20.47
24.9,20.74
25.0,20.74
25.1,20.47
25.200000000000003,20.47
25.299999999999997,20.47
25.4,20.47
25.5,20.47
25.6,20.22
25.700000000000003,20.47
25.799999999999997,20.74
25.9,20.22
26.0,20.47
26.1,20.74
26.200000000000003,20.22
26.299999999999997,20.47
26.4,20.47
26.5,20.22
26.6,20.22
26.700000000000003,20.47
26.799999999999997,20.74
26.9,20.47
27.0,20.47
27.1,20.47
27.200000000000003,20.22
27.299999999999997,20.47
27.4,20.22
27.5,20.22
27.6,20.22
27.700000000000003,20.22
27.799999999999997,20.22
27.9,20.22
28.0,20.22
28.1,19.96
28.200000000000003,20.22
28.299999999999997,19.96
28.4,19.96
28.5,19.96
28.6,20.22
28.700000000000003,20.22
28.799999999999997,20.22
28.9,20.22
29.0,20.22
29.1,19.96
29.200000000000003,20.22
29.299999999999997,20.22
29.4,20.22
29.5,20.74
29.6,19.96
29.700000000000003,20.22
29.799999999999997,20.47
29.9,19.96
30.0,20.22
30.1,20.22
30.200000000000003,20.47
30.299999999999997,19.96
30.4,20.22
30.5,20.22
30.6,19.96
30.700000000000003,19.96
30.799999999999997,20.47
30.9,19.96
31.0,20.22
31.1,19.96
31.200000000000003,19.96
31.299999999999997,19.96
31.4,19.96
31.5,19.96
31.6,20.22
31.700000000000003,20.22
31.799999999999997,20.22
31.9,19.71
32.0,19.96
32.1,20.22
32.2,20.22
32.3,19.96
32.4,19.96
32.5,19.96
32.6,20.22
32.7,19.96
32.8,19.96
32.9,20.22
33.0,20.22
33.1,19.96
33.2,19.71
33.3,19.96
33.4,19.96
33.5,20.22
33.6,19.96
33.7,20.22
33.8,19.71
33.9,19.71
34.0,19.71
34.1,19.96
34.2,19.96
34.3,20.22
34.4,19.71
34.5,20.22
34.6,20.22
34.7,19.71
34.8,19.71
34.9,19.71
35.0,19.71
35.1,19.71
35.2,19.71
35.3,19.71
35.4,19.71
35.5,20.22
35.6,19.71
35.7,19.71
35.8,19.71
35.9,19.71
36.0,19.71
36.1,19.71
36.2,19.96
36.3,19.71
36.4,20.22
36.5,19.71
36.6,19.71
36.7,19.71
36.8,19.71
36.9,19.96
37.0,19.71
37.1,19.71
37.2,20.22
37.3,19.96
37.4,19.96
37.5,20.22
37.6,19.71
37.7,19.71
37.8,19.71
37.9,19.71
38.0,19.45
38.1,19.45
38.2,19.71
38.3,19.96
38.4,19.96
38.5,19.96
38.6,19.96
38.7,19.71
38.8,19.45
38.9,19.45
39.0,19.71
39.1,20.22
39.2,19.45
39.3,19.45
39.4,20.22
39.5,19.71
39.6,19.71
39.7,19.71
39.8,19.71
39.9,19.45
40.0,19.45
40.1,19.45
40.2,19.45
40.3,19.71
40.4,19.71
40.5,19.45
40.6,19.71
40.7,19.71
40.8,19.71
40.9,19.45
41.0,19.71
41.1,19.45
41.2,19.71
41.3,19.71
41.4,19.71
41.5,19.71
41.6,19.71
41.7,20.22
41.8,19.45
41.9,19.45
42.0,19.45
42.1,19.45
42.2,20.22
42.3,19.71
42.4,19.71
42.5,19.96
42.6,19.45
42.7,19.71
42.8,19.71
42.9,19.45
43.0,19.71
43.1,19.45
43.2,19.71
43.3,19.45
43.4,19.45
43.5,19.45
43.6,19.45
43.7,19.71
43.8,19.45
43.9,19.45
44.0,19.71
44.1,19.45
44.2,19.45
44.3,19.71
44.4,19.71
44.5,20.22
44.6,19.71
44.7,19.71
44.8,19.45
44.9,19.45
45.0,19.71
45.1,19.45
45.2,20.22
45.3,19.71
45.4,19.45
45.5,19.71
45.6,19.45
45.7,19.45
45.8,19.71
45.9,19.21
46.0,20.22
46.1,19.45
46.2,19.45
46.3,19.45
46.4,19.71
46.5,19.71
46.6,19.71
46.7,19.71
46.8,19.45
46.9,19.71
47.0,19.71
47.1,19.45
47.2,19.45
47.3,19.96
47.4,19.71
47.5,20.22
47.6,19.71
47.7,19.21
47.8,19.71
47.9,19.71
48.0,19.45
48.1,19.71
48.2,19.45
48.3,19.71
48.4,19.45
48.5,19.71
48.6,20.22
48.7,19.45
48.8,19.71
48.9,19.71
49.0,19.71
49.1,20.22
49.2,19.45
49.3,19.21
49.4,19.96
49.5,19.21
49.6,19.45
49.7,19.71
49.8,19.71
49.9,19.96
50.0,19.45
